,title,price
0,오리 영양도시락,"6,900"
1,통살 오징어튀김,"2,900"
2,열무 감초고추장 비빔밥,"4,500"
3,열무 두부강된장 비빔밥,"4,900"
4,[8월할인메뉴] 토네이도 소세지,"1,000"
5,[8월할인메뉴] 토핑-계란후라이,800
6,[8월할인메뉴] 치킨2조각,"1,300"
7,[8월할인메뉴] 토핑-스팸,800
8,[8월할인메뉴] 빅치킨마요,"3,600"
9,[8월할인메뉴] 치킨마요,"3,000"
10,[8월할인메뉴] 카츠카츠 도시락,"3,900"
11,[8월할인메뉴] 핫 치즈 닭갈비 덮밥,"4,900"
12,[8월할인메뉴] 오리지널 치즈 닭갈비 덮밥,"4,900"
13,[8월할인메뉴] 돈까스도련님 고기고기,"5,500"
14,[8월행사메뉴] 숯불직화구이 덮밥,"4,900"
15,[8월할인메뉴] 진달래,"6,700"
16,[8월할인메뉴] 통현미 닭강정(소),"2,900"
17,[8월할인메뉴] 스팸 김치볶음밥,"3,900"
18,해바라기,"10,000"
19,매화,"10,500"
20,진달래,"7,800"
21,개나리,"8,500"
22,돈까스도련님고기고기,"6,500"
23,탕수육도련님고기고기,"6,000"
24,새치 고기고기,"7,000"
25,돈치 고기고기,"6,000"
26,카츠카츠 도시락,"4,800"
27,숯불직화구이,"6,600"
28,소불고기,"5,500"
29,메가치킨제육,"7,500"
30,칠리 찹쌀탕수육도련님,"4,400"
31,동백,"6,000"
32,치킨제육,"4,900"
33,돈까스도련님,"4,800"
34,제육볶음,"4,500"
35,돈치스팸 도시락,"5,000"
36,제육 김치찌개 정식,"8,600"
37,제육 김치 부대찌개 정식,"9,000"
38,돈치스팸 김치 부대찌개 정식,"9,000"
39,빅치킨마요 김치 부대찌개 정식,"8,000"
40,치킨마요 김치 부대찌개 정식,"7,400"
41,빅치킨마요 김치찌개 정식,"7,500"
42,치킨마요 김치찌개 정식,"6,900"
43,새후마요,"4,500"
44,메가스팸마요,"5,800"
45,스팸마요,"3,900"
46,메가치킨마요,"6,000"
47,왕치킨마요,"5,000"
48,빅치킨마요,"4,300"
49,치킨마요,"3,700"
50,참치마요,"3,500"
51,돈치마요,"4,000"
52,돈까스 카레,"4,700"
53,스팸 김치볶음밥,"4,700"
54,김치볶음밥,"3,900"
55,스팸철판볶음밥,"4,700"
56,소불고기 철판볶음밥,"4,900"
57,나시고랭,"6,200"
58,묵은지 김치찌개,"4,900"
59,김치 부대찌개,"6,000"
60,핫 치즈 닭갈비덮밥,"5,900"
61,오리지널 치즈 닭갈비덮밥,"5,900"
62,숯불직화구이 덮밥,"6,000"
63,마파두부 덮밥,"5,000"
64,왕카레돈까스덮밥,"6,000"
65,새우돈까스 덮밥,"4,200"
66,돈까스 덮밥,"4,100"
67,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500"
68,아보카도 소불고기 명란 비빔밥,"6,500"
69,소불고기 감초고추장 비빔밥,"5,400"
70,시골제육 두부강된장 비빔밥,"5,200"
71,참치야채 감초고추장,"3,500"
72,튼튼도시락,"5,000"
73,반찬 묵은지김치찌개,"4,400"
74,반찬 카레,"2,900"
75,반찬 순살 고등어 간장구이,"3,900"
76,반찬 김치 부대찌개,"4,900"
77,반찬 치킨,"3,800"
78,반찬 고기고기,"3,600"
79,반찬 돈까스 도련님,"4,100"
80,반찬 제육볶음,"3,500"
81,반찬 토네이도 소세지,"2,800"
82,반찬 반달돈까스,"2,900"
83,치즈버터 해시 포테이토 스틱,"2,200"
84,허니버터 해시 포테이토 스틱,"2,200"
85,해시 포테이토 스틱,"2,000"
86,뉴 감자고로케,"2,700"
87,미니 찹쌀핫도그,"2,800"
88,미니 찹쌀탕수육,"2,200"
89,케이준후라이,"1,900"
90,통현미 닭강정(소),"3,500"
91,통현미 닭강정(중),"8,500"
92,후라이드 순살(중),"7,500"
93,후라이드 순살(소)_양념치킨소스,"4,000"
94,후라이드 순살(소)_케이준소스,"4,000"
95,오리지널 닭강정(중),"8,500"
96,오리지널 닭강정(소),"3,500"
97,반찬 무생채,400
98,3종 미니반찬B,"1,300"
99,3종 미니반찬A,"1,300"
100,반찬 열무김치,500
101,오징어젓갈,600
102,한솥 두부강된장소스,"1,800"
103,한솥 감초볶음고추장소스,500
104,볶음김치,500
105,김치,400
106,무말랭이 무침,500
107,한솥밥,"1,000"
108,현미밥,"1,700"
109,리얼 티라미수 찰떡,"1,700"
110,리얼꿀 미니호떡,"2,200"
